Period,Rural Female,Rural Male,Total,Female,Urban Male,Total,Female,TotalMale,Total
1990-94,58.7,58.2,58.6,66.7,64.1,65.4,60.4,59.4,60
1991-95,59.3,58.5,58.9,67.3,64.5,65.9,60.9,59.7,60.3
1992-96,59.8,58.9,59.4,67.7,64.9,66.3,61.4,60.1,60.7
1993-97,60.2,59.3,59.9,68,65.1,66.6,61.8,60.4,61.1
1994-98,60.5,59.5,60.1,68.2,65.3,66.8,62.2,60.6,61.4
1995-99,60.9,59.7,60.3,67.9,65.1,66.4,62.3,60.8,61.5
1996-00,61.3,60.1,60.7,68.3,65.4,66.7,62.7,61.2,61.9
1997-01,61.9,60.3,61.1,68.7,65.7,67.1,63.3,61.4,62.3
1998-02,62.5,60.7,61.6,69.2,66.1,67.6,64,61.9,62.9
1999-03,63.2,61.1,62.2,69.7,66.5,68,64.6,62.3,63.4
2000-04,63.8,61.6,62.7,70,66.9,68.4,65.2,62.8,63.9
2001-05,64.2,61.9,63,70.3,67.2,68.6,65.6,63.1,64.3
2002-06,64.7,62.3,63.5,70.6,67.4,68.9,66.1,63.5,64.7
2003-07,65.2,62.6,63.8,70.7,67.5,69,66.5,63.7,65
2004-08,65.7,62.9,64.2,70.8,67.5,69,66.9,64,65.4
2005-09,66,63.2,64.5,71,67.6,69.2,67.2,64.3,65.7
2006-10,66.5,63.5,64.9,71.4,68,69.6,67.7,64.6,66.1
