Name of the Court,Female,Male,% Female
Supreme Court,2,28,7%
High Courts,,,
Allahabad,5,83,6%
Andhra Pradesh,2,32,6%
Bombay,8,56,13%
Calcutta,4,35,10%
Chhattisgarh,0,12,0%
Delhi,9,27,25%
Gauhati,1,12,8%
Gujarat,3,28,10%
Himachal Pradesh,0,6,0%
Jammu & Kashmir,0,10,0%
Jharkhand,1,9,10%
Karnataka,3,30,9%
Kerala,1,29,3%
Madhya Pradesh,2,28,7%
Madras,6,38,14%
Manipur,0,2,0%
Meghalaya,0,3,0%
Odissa,1,16,6%
Patna,2,29,6%
Punjab & Haryana,7,39,15%
Rajasthan,3,25,11%
Sikkim,0,2,0%
Total,58,551,10%
